Room1,Room2
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
0,18
1,19
2,20
3,21
4,22
5,23
6,24
7,25
8,26
9,27
10,28
11,29
12,30
13,31
14,32
15,33
16,34
17,35
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
18,36
19,37
20,38
21,39
22,40
23,41
24,42
25,43
26,44
27,45
28,46
29,47
30,48
31,49
32,50
33,51
34,52
35,53
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
36,54
37,55
38,56
39,57
40,58
41,59
42,60
43,61
44,62
45,63
46,64
47,65
48,66
49,67
50,68
51,69
52,70
53,71
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
72,90
73,91
74,92
75,93
76,94
77,95
78,96
79,97
80,98
81,99
82,100
83,101
84,102
85,103
86,104
87,105
88,106
89,107
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
90,108
91,109
92,110
93,111
94,112
95,113
96,114
97,115
98,116
99,117
100,118
101,119
102,120
103,121
104,122
105,123
106,124
107,125
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
108,126
109,127
110,128
111,129
112,130
113,131
114,132
115,133
116,134
117,135
118,136
119,137
120,138
121,139
122,140
123,141
124,142
125,143
126,127
127,128
128,129
129,130
130,131
131,132
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
